"","Date","GDP (Billions)"
"1","1947-04-01",-1
"2","1947-07-01",-0.8
"3","1947-10-01",6.4
"4","1948-01-01",6.2
"5","1948-04-01",6.8
"6","1948-07-01",2.3
"7","1948-10-01",0.5
"8","1949-01-01",-5.4
"9","1949-04-01",-1.4
"10","1949-07-01",4.2
"11","1949-10-01",-3.3
"12","1950-01-01",16.7
"13","1950-04-01",12.7
"14","1950-07-01",16.4
"15","1950-10-01",7.9
"16","1951-01-01",5.5
"17","1951-04-01",7.1
"18","1951-07-01",8.5
"19","1951-10-01",0.9
"20","1952-01-01",4.3
"21","1952-04-01",0.8
"22","1952-07-01",2.9
"23","1952-10-01",13.8
"24","1953-01-01",7.7
"25","1953-04-01",3.1
"26","1953-07-01",-2.2
"27","1953-10-01",-5.9
"28","1954-01-01",-1.9
"29","1954-04-01",0.4
"30","1954-07-01",4.6
"31","1954-10-01",8.1
"32","1955-01-01",11.9
"33","1955-04-01",6.7
"34","1955-07-01",5.5
"35","1955-10-01",2.4
"36","1956-01-01",-1.5
"37","1956-04-01",3.3
"38","1956-07-01",-0.3
"39","1956-10-01",6.8
"40","1957-01-01",2.6
"41","1957-04-01",-0.9
"42","1957-07-01",4
"43","1957-10-01",-4.1
"44","1958-01-01",-10
"45","1958-04-01",2.7
"46","1958-07-01",9.6
"47","1958-10-01",9.7
"48","1959-01-01",7.9
"49","1959-04-01",9.3
"50","1959-07-01",0.3
"51","1959-10-01",1.1
"52","1960-01-01",9.3
"53","1960-04-01",-2.1
"54","1960-07-01",2
"55","1960-10-01",-5
"56","1961-01-01",2.7
"57","1961-04-01",7
"58","1961-07-01",7.9
"59","1961-10-01",8.1
"60","1962-01-01",7.3
"61","1962-04-01",3.7
"62","1962-07-01",5
"63","1962-10-01",1.3
"64","1963-01-01",4.4
"65","1963-04-01",4.6
"66","1963-07-01",9.1
"67","1963-10-01",2.6
"68","1964-01-01",8.7
"69","1964-04-01",4.4
"70","1964-07-01",6.4
"71","1964-10-01",1.2
"72","1965-01-01",10
"73","1965-04-01",5.2
"74","1965-07-01",9.2
"75","1965-10-01",9.5
"76","1966-01-01",10.1
"77","1966-04-01",1.4
"78","1966-07-01",3.4
"79","1966-10-01",3.3
"80","1967-01-01",3.6
"81","1967-04-01",0.2
"82","1967-07-01",3.8
"83","1967-10-01",3.1
"84","1968-01-01",8.4
"85","1968-04-01",6.9
"86","1968-07-01",3.1
"87","1968-10-01",1.6
"88","1969-01-01",6.4
"89","1969-04-01",1.2
"90","1969-07-01",2.7
"91","1969-10-01",-1.9
"92","1970-01-01",-0.6
"93","1970-04-01",0.6
"94","1970-07-01",3.7
"95","1970-10-01",-4.2
"96","1971-01-01",11.3
