"","Date","Starts (Thousands"
"1","1959-01-01",1657
"2","1959-02-01",1667
"3","1959-03-01",1620
"4","1959-04-01",1590
"5","1959-05-01",1498
"6","1959-06-01",1503
"7","1959-07-01",1547
"8","1959-08-01",1430
"9","1959-09-01",1540
"10","1959-10-01",1355
"11","1959-11-01",1416
"12","1959-12-01",1601
"13","1960-01-01",1460
"14","1960-02-01",1503
"15","1960-03-01",1109
"16","1960-04-01",1289
"17","1960-05-01",1271
"18","1960-06-01",1247
"19","1960-07-01",1197
"20","1960-08-01",1344
"21","1960-09-01",1097
"22","1960-10-01",1246
"23","1960-11-01",1246
"24","1960-12-01",1063
"25","1961-01-01",1183
"26","1961-02-01",1226
"27","1961-03-01",1312
"28","1961-04-01",1166
"29","1961-05-01",1228
"30","1961-06-01",1382
"31","1961-07-01",1335
"32","1961-08-01",1312
"33","1961-09-01",1429
"34","1961-10-01",1415
"35","1961-11-01",1385
"36","1961-12-01",1365
"37","1962-01-01",1361
"38","1962-02-01",1278
"39","1962-03-01",1443
"40","1962-04-01",1524
"41","1962-05-01",1483
"42","1962-06-01",1404
"43","1962-07-01",1450
"44","1962-08-01",1517
"45","1962-09-01",1324
"46","1962-10-01",1533
"47","1962-11-01",1622
"48","1962-12-01",1564
"49","1963-01-01",1244
"50","1963-02-01",1456
"51","1963-03-01",1534
"52","1963-04-01",1689
"53","1963-05-01",1641
"54","1963-06-01",1588
"55","1963-07-01",1614
"56","1963-08-01",1639
"57","1963-09-01",1763
"58","1963-10-01",1779
"59","1963-11-01",1622
"60","1963-12-01",1491
"61","1964-01-01",1603
"62","1964-02-01",1820
"63","1964-03-01",1517
"64","1964-04-01",1448
"65","1964-05-01",1467
"66","1964-06-01",1550
"67","1964-07-01",1562
"68","1964-08-01",1569
"69","1964-09-01",1455
"70","1964-10-01",1524
"71","1964-11-01",1486
"72","1964-12-01",1484
"73","1965-01-01",1361
"74","1965-02-01",1433
"75","1965-03-01",1423
"76","1965-04-01",1438
"77","1965-05-01",1478
"78","1965-06-01",1488
"79","1965-07-01",1529
"80","1965-08-01",1432
