"","value","date"
"1",3.927,2023-10-01
"2",3.965,2023-09-01
"3",3.927,2023-08-01
"4",3.971,2023-07-01
"5",3.985,2023-06-01
"6",4.042,2023-05-01
"7",4.042,2023-04-01
"8",4.098,2023-03-01
"9",4.163,2023-02-01
"10",4.204,2023-01-01
"11",4.211,2022-12-01
"12",4.218,2022-11-01
"13",4.184,2022-10-01
"14",4.181,2022-09-01
"15",4.194,2022-08-01
"16",4.156,2022-07-01
"17",4.153,2022-06-01
"18",4.204,2022-05-01
"19",4.012,2022-04-01
"20",3.917,2022-03-01
"21",3.875,2022-02-01
"22",3.787,2022-01-01
"23",3.743,2021-12-01
"24",3.671,2021-11-01
"25",3.663,2021-10-01
"26",3.585,2021-09-01
"27",3.56,2021-08-01
"28",3.627,2021-07-01
"29",3.557,2021-06-01
"30",3.497,2021-05-01
"31",3.447,2021-04-01
"32",3.348,2021-03-01
"33",3.368,2021-02-01
"34",3.468,2021-01-01
"35",3.535,2020-12-01
"36",3.425,2020-11-01
"37",3.38,2020-10-01
"38",3.448,2020-09-01
"39",3.406,2020-08-01
"40",3.255,2020-07-01
"41",3.198,2020-06-01
"42",3.21,2020-05-01
"43",3.267,2020-04-01
"44",3.248,2020-03-01
"45",3.196,2020-02-01
"46",3.253,2020-01-01
"47",3.188,2019-12-01
"48",3.189,2019-11-01
"49",3.119,2019-10-01
"50",3.102,2019-09-01
"51",3.045,2019-08-01
"52",3.031,2019-07-01
"53",3.054,2019-06-01
"54",2.963,2019-05-01
"55",2.98,2019-04-01
"56",2.944,2019-03-01
"57",2.9,2019-02-01
"58",2.913,2019-01-01
"59",2.853,2018-12-01
"60",2.877,2018-11-01
"61",2.913,2018-10-01
"62",2.89,2018-09-01
"63",2.871,2018-08-01
"64",2.839,2018-07-01
"65",2.877,2018-06-01
"66",2.919,2018-05-01
"67",2.924,2018-04-01
"68",2.903,2018-03-01
"69",2.923,2018-02-01
"70",2.961,2018-01-01
"71",3.155,2017-12-01
"72",3.15,2017-11-01
"73",3.158,2017-10-01
"74",3.209,2017-09-01
"75",3.168,2017-08-01
"76",3.219,2017-07-01
"77",3.213,2017-06-01
"78",3.242,2017-05-01
"79",3.259,2017-04-01
"80",3.315,2017-03-01
"81",3.3,2017-02-01
"82",3.318,2017-01-01
"83",3.29,2016-12-01
"84",3.28,2016-11-01
"85",3.292,2016-10-01
"86",3.229,2016-09-01
"87",3.141,2016-08-01
"88",3.062,2016-07-01
"89",3.115,2016-06-01
"90",3.157,2016-05-01
"91",3.155,2016-04-01
"92",3.187,2016-03-01
"93",3.23,2016-02-01
"94",3.313,2016-01-01
"95",3.31,2015-12-01
"96",3.299,2015-11-01
"97",3.338,2015-10-01
"98",3.392,2015-09-01
"99",3.389,2015-08-01
"100",3.43,2015-07-01
"101",3.366,2015-06-01
"102",3.387,2015-05-01
"103",3.397,2015-04-01
"104",3.463,2015-03-01
"105",3.496,2015-02-01
"106",3.758,2015-01-01
"107",3.82,2014-12-01
"108",3.858,2014-11-01
"109",3.766,2014-10-01
"110",3.732,2014-09-01
"111",3.673,2014-08-01
"112",3.645,2014-07-01
"113",3.626,2014-06-01
"114",3.735,2014-05-01
"115",3.687,2014-04-01
"116",3.669,2014-03-01
"117",3.561,2014-02-01
"118",3.552,2014-01-01
"119",3.501,2013-12-01
"120",3.491,2013-11-01
"121",3.462,2013-10-01
"122",3.428,2013-09-01
"123",3.448,2013-08-01
"124",3.449,2013-07-01
"125",3.458,2013-06-01
"126",3.441,2013-05-01
"127",3.428,2013-04-01
"128",3.431,2013-03-01
"129",3.48,2013-02-01
"130",3.526,2013-01-01
"131",3.58,2012-12-01
"132",3.536,2012-11-01
"133",3.524,2012-10-01
"134",3.469,2012-09-01
"135",3.474,2012-08-01
"136",3.428,2012-07-01
"137",3.396,2012-06-01
"138",3.427,2012-05-01
"139",3.474,2012-04-01
"140",3.499,2012-03-01
"141",3.52,2012-02-01
"142",3.583,2012-01-01
"143",3.565,2011-12-01
"144",3.557,2011-11-01
"145",3.622,2011-10-01
"146",3.715,2011-09-01
"147",3.713,2011-08-01
"148",3.654,2011-07-01
"149",3.622,2011-06-01
"150",3.653,2011-05-01
"151",3.597,2011-04-01
"152",3.503,2011-03-01
"153",3.357,2011-02-01
"154",3.301,2011-01-01
"155",3.318,2010-12-01
"156",3.327,2010-11-01
"157",3.321,2010-10-01
"158",3.278,2010-09-01
"159",3.303,2010-08-01
"160",3.313,2010-07-01
"161",3.297,2010-06-01
"162",3.178,2010-05-01
"163",3.14,2010-04-01
"164",3.188,2010-03-01
"165",3.203,2010-02-01
"166",3.236,2010-01-01
"167",3.105,2009-12-01
"168",3.034,2009-11-01
"169",3.046,2009-10-01
"170",2.981,2009-09-01
"171",2.979,2009-08-01
"172",2.992,2009-07-01
"173",3.009,2009-06-01
"174",3.068,2009-05-01
"175",3.084,2009-04-01
"176",3.116,2009-03-01
"177",3.319,2009-02-01
"178",3.575,2009-01-01
"179",3.681,2008-12-01
"180",3.734,2008-11-01
"181",3.656,2008-10-01
"182",3.773,2008-09-01
"183",3.886,2008-08-01
"184",3.961,2008-07-01
"185",3.773,2008-06-01
"186",3.76,2008-05-01
"187",3.799,2008-04-01
"188",3.781,2008-03-01
"189",3.869,2008-02-01
"190",3.871,2008-01-01
"191",3.87,2007-12-01
"192",3.904,2007-11-01
"193",3.838,2007-10-01
"194",3.841,2007-09-01
"195",3.807,2007-08-01
"196",3.736,2007-07-01
"197",3.427,2007-06-01
"198",3.259,2007-05-01
"199",3.135,2007-04-01
"200",3.072,2007-03-01
"201",3.083,2007-02-01
"202",3.067,2007-01-01
"203",3.004,2006-12-01
"204",2.985,2006-11-01
"205",3.064,2006-10-01
"206",3.049,2006-09-01
"207",3.019,2006-08-01
"208",3.083,2006-07-01
"209",3.001,2006-06-01
"210",3.066,2006-05-01
"211",3.123,2006-04-01
"212",3.161,2006-03-01
"213",3.224,2006-02-01
"214",3.197,2006-01-01
"215",3.241,2005-12-01
"216",3.211,2005-11-01
"217",3.171,2005-10-01
"218",3.133,2005-09-01
"219",3.136,2005-08-01
"220",3.09,2005-07-01
"221",3.122,2005-06-01
"222",3.207,2005-05-01
"223",3.225,2005-04-01
"224",3.226,2005-03-01
"225",3.176,2005-02-01
"226",3.304,2005-01-01
