"","Date","Shiller HPI"
"1","1987-01-01",63.735
"2","1987-02-01",64.135
"3","1987-03-01",64.47
"4","1987-04-01",64.973
"5","1987-05-01",65.547
"6","1987-06-01",66.218
"7","1987-07-01",66.786
"8","1987-08-01",67.27
"9","1987-09-01",67.624
"10","1987-10-01",67.903
"11","1987-11-01",68.093
"12","1987-12-01",68.344
"13","1988-01-01",68.583
"14","1988-02-01",68.916
"15","1988-03-01",69.325
"16","1988-04-01",69.789
"17","1988-05-01",70.409
"18","1988-06-01",71.068
"19","1988-07-01",71.686
"20","1988-08-01",72.185
"21","1988-09-01",72.574
"22","1988-10-01",72.822
"23","1988-11-01",73.065
"24","1988-12-01",73.279
"25","1989-01-01",73.617
"26","1989-02-01",73.968
"27","1989-03-01",74.41
"28","1989-04-01",74.868
"29","1989-05-01",75.296
"30","1989-06-01",75.696
"31","1989-07-01",76.042
"32","1989-08-01",76.273
"33","1989-09-01",76.422
"34","1989-10-01",76.489
"35","1989-11-01",76.522
"36","1989-12-01",76.498
"37","1990-01-01",76.527
"38","1990-02-01",76.587
"39","1990-03-01",76.79
"40","1990-04-01",77.038
"41","1990-05-01",77.297
"42","1990-06-01",77.505
"43","1990-07-01",77.561
"44","1990-08-01",77.479
"45","1990-09-01",77.229
"46","1990-10-01",76.912
"47","1990-11-01",76.381
"48","1990-12-01",75.972
"49","1991-01-01",75.533
"50","1991-02-01",75.249
"51","1991-03-01",75.136
"52","1991-04-01",75.315
"53","1991-05-01",75.768
"54","1991-06-01",76.253
"55","1991-07-01",76.517
"56","1991-08-01",76.594
"57","1991-09-01",76.575
"58","1991-10-01",76.29
"59","1991-11-01",76.03
"60","1991-12-01",75.844
"61","1992-01-01",75.7
"62","1992-02-01",75.655
"63","1992-03-01",75.814
"64","1992-04-01",76.08
"65","1992-05-01",76.398
"66","1992-06-01",76.602
"67","1992-07-01",76.711
"68","1992-08-01",76.732
"69","1992-09-01",76.628
"70","1992-10-01",76.598
"71","1992-11-01",76.579
"72","1992-12-01",76.464
"73","1993-01-01",76.395
"74","1993-02-01",76.327
"75","1993-03-01",76.382
"76","1993-04-01",76.66
"77","1993-05-01",77.03
"78","1993-06-01",77.516
"79","1993-07-01",77.885
"80","1993-08-01",78.131
"81","1993-09-01",78.198
"82","1993-10-01",78.172
"83","1993-11-01",78.17
"84","1993-12-01",78.113
"85","1994-01-01",78.198
"86","1994-02-01",78.204
"87","1994-03-01",78.349
"88","1994-04-01",78.701
"89","1994-05-01",79.208
"90","1994-06-01",79.701
"91","1994-07-01",80.063
"92","1994-08-01",80.317
"93","1994-09-01",80.34
"94","1994-10-01",80.304
"95","1994-11-01",80.17
"96","1994-12-01",80.078
"97","1995-01-01",80.027
"98","1995-02-01",79.992
"99","1995-03-01",80.078
"100","1995-04-01",80.369
"101","1995-05-01",80.691
"102","1995-06-01",81.069
"103","1995-07-01",81.413
"104","1995-08-01",81.655
"105","1995-09-01",81.739
"106","1995-10-01",81.727
"107","1995-11-01",81.631
"108","1995-12-01",81.514
"109","1996-01-01",81.427
"110","1996-02-01",81.399
"111","1996-03-01",81.665
"112","1996-04-01",82.125
"113","1996-05-01",82.602
"114","1996-06-01",83.049
"115","1996-07-01",83.419
"116","1996-08-01",83.645
"117","1996-09-01",83.702
"118","1996-10-01",83.629
"119","1996-11-01",83.557
"120","1996-12-01",83.491
"121","1997-01-01",83.531
"122","1997-02-01",83.597
"123","1997-03-01",83.912
"124","1997-04-01",84.321
"125","1997-05-01",84.864
"126","1997-06-01",85.398
"127","1997-07-01",85.841
"128","1997-08-01",86.151
"129","1997-09-01",86.311
"130","1997-10-01",86.408
"131","1997-11-01",86.632
"132","1997-12-01",86.848
"133","1998-01-01",87.163
"134","1998-02-01",87.373
"135","1998-03-01",87.877
"136","1998-04-01",88.558
"137","1998-05-01",89.374
"138","1998-06-01",90.195
"139","1998-07-01",90.859
"140","1998-08-01",91.407
"141","1998-09-01",91.751
"142","1998-10-01",91.999
"143","1998-11-01",92.197
"144","1998-12-01",92.443
"145","1999-01-01",92.714
"146","1999-02-01",92.981
"147","1999-03-01",93.611
"148","1999-04-01",94.436
"149","1999-05-01",95.36
"150","1999-06-01",96.363
"151","1999-07-01",97.192
"152","1999-08-01",97.897
"153","1999-09-01",98.399
"154","1999-10-01",98.832
"155","1999-11-01",99.149
"156","1999-12-01",99.543
"157","2000-01-01",100
"158","2000-02-01",100.571
"159","2000-03-01",101.466
"160","2000-04-01",102.541
"161","2000-05-01",103.702
"162","2000-06-01",104.855
"163","2000-07-01",105.722
"164","2000-08-01",106.522
"165","2000-09-01",107.135
"166","2000-10-01",107.728
"167","2000-11-01",108.291
"168","2000-12-01",108.791
"169","2001-01-01",109.214
"170","2001-02-01",109.642
"171","2001-03-01",110.394
"172","2001-04-01",111.248
