"","value","Date"
"1",311.38,2023-10-01
"2",310.817,2023-09-01
"3",310.103,2023-08-01
"4",309.402,2023-07-01
"5",308.91,2023-06-01
"6",308.096,2023-05-01
"7",306.899,2023-04-01
"8",305.476,2023-03-01
"9",304.011,2023-02-01
"10",301.962,2023-01-01
"11",300.113,2022-12-01
"12",299.6,2022-11-01
"13",299.315,2022-10-01
"14",298.442,2022-09-01
"15",297.178,2022-08-01
"16",295.646,2022-07-01
"17",294.68,2022-06-01
"18",292.506,2022-05-01
"19",290.846,2022-04-01
"20",289.305,2022-03-01
"21",288.059,2022-02-01
"22",285.996,2022-01-01
"23",283.908,2021-12-01
"24",282.754,2021-11-01
"25",281.617,2021-10-01
"26",279.884,2021-09-01
"27",279.507,2021-08-01
"28",279.146,2021-07-01
"29",278.218,2021-06-01
"30",275.893,2021-05-01
"31",273.968,2021-04-01
"32",271.713,2021-03-01
"33",270.696,2021-02-01
"34",269.755,2021-01-01
"35",269.226,2020-12-01
"36",269.473,2020-11-01
"37",269.328,2020-10-01
"38",269.054,2020-09-01
"39",268.756,2020-08-01
"40",267.703,2020-07-01
"41",266.302,2020-06-01
"42",265.799,2020-05-01
"43",266.089,2020-04-01
"44",267.312,2020-03-01
"45",267.268,2020-02-01
"46",266.004,2020-01-01
"47",264.935,2019-12-01
"48",265.108,2019-11-01
"49",265.059,2019-10-01
"50",264.522,2019-09-01
"51",264.169,2019-08-01
"52",263.566,2019-07-01
"53",263.177,2019-06-01
"54",262.59,2019-05-01
"55",262.332,2019-04-01
"56",261.836,2019-03-01
"57",261.114,2019-02-01
"58",260.122,2019-01-01
"59",259.083,2018-12-01
"60",259.105,2018-11-01
"61",259.063,2018-10-01
"62",258.429,2018-09-01
"63",258.012,2018-08-01
"64",257.867,2018-07-01
"65",257.697,2018-06-01
"66",257.469,2018-05-01
"67",257.025,2018-04-01
"68",256.61,2018-03-01
"69",255.783,2018-02-01
"70",254.638,2018-01-01
"71",253.558,2017-12-01
"72",253.492,2017-11-01
"73",253.638,2017-10-01
"74",252.941,2017-09-01
"75",252.46,2017-08-01
"76",251.936,2017-07-01
"77",252.014,2017-06-01
"78",251.835,2017-05-01
"79",251.642,2017-04-01
"80",251.29,2017-03-01
"81",251.143,2017-02-01
"82",250.083,2017-01-01
"83",249.134,2016-12-01
"84",249.227,2016-11-01
"85",249.218,2016-10-01
"86",248.731,2016-09-01
"87",248.278,2016-08-01
"88",247.744,2016-07-01
"89",247.794,2016-06-01
"90",247.544,2016-05-01
"91",246.992,2016-04-01
"92",246.358,2016-03-01
"93",245.68,2016-02-01
"94",244.528,2016-01-01
