"","value","Date"
"1",307.671,2023-10-01
"2",307.789,2023-09-01
"3",307.026,2023-08-01
"4",305.691,2023-07-01
"5",305.109,2023-06-01
"6",304.127,2023-05-01
"7",303.363,2023-04-01
"8",301.836,2023-03-01
"9",300.84,2023-02-01
"10",299.17,2023-01-01
"11",296.797,2022-12-01
"12",297.711,2022-11-01
"13",298.012,2022-10-01
"14",296.808,2022-09-01
"15",296.171,2022-08-01
"16",296.276,2022-07-01
"17",296.311,2022-06-01
"18",292.296,2022-05-01
"19",289.109,2022-04-01
"20",287.504,2022-03-01
"21",283.716,2022-02-01
"22",281.148,2022-01-01
"23",278.802,2021-12-01
"24",277.948,2021-11-01
"25",276.589,2021-10-01
"26",274.31,2021-09-01
"27",273.567,2021-08-01
"28",273.003,2021-07-01
"29",271.696,2021-06-01
"30",269.195,2021-05-01
"31",267.054,2021-04-01
"32",264.877,2021-03-01
"33",263.014,2021-02-01
"34",261.582,2021-01-01
"35",260.474,2020-12-01
"36",260.229,2020-11-01
"37",260.388,2020-10-01
"38",260.28,2020-09-01
"39",259.918,2020-08-01
"40",259.101,2020-07-01
"41",257.797,2020-06-01
"42",256.394,2020-05-01
"43",256.389,2020-04-01
"44",258.115,2020-03-01
"45",258.678,2020-02-01
"46",257.971,2020-01-01
"47",256.974,2019-12-01
"48",257.208,2019-11-01
"49",257.346,2019-10-01
"50",256.759,2019-09-01
"51",256.558,2019-08-01
"52",256.571,2019-07-01
"53",256.143,2019-06-01
"54",256.092,2019-05-01
"55",255.548,2019-04-01
"56",254.202,2019-03-01
"57",252.776,2019-02-01
"58",251.712,2019-01-01
"59",251.233,2018-12-01
"60",252.038,2018-11-01
"61",252.885,2018-10-01
"62",252.439,2018-09-01
"63",252.146,2018-08-01
"64",252.006,2018-07-01
"65",251.989,2018-06-01
"66",251.588,2018-05-01
"67",250.546,2018-04-01
"68",249.554,2018-03-01
"69",248.991,2018-02-01
"70",247.867,2018-01-01
"71",246.524,2017-12-01
"72",246.669,2017-11-01
"73",246.663,2017-10-01
"74",246.819,2017-09-01
"75",245.519,2017-08-01
"76",244.786,2017-07-01
"77",244.955,2017-06-01
"78",244.733,2017-05-01
"79",244.524,2017-04-01
"80",243.801,2017-03-01
"81",243.603,2017-02-01
"82",242.839,2017-01-01
"83",241.432,2016-12-01
"84",241.353,2016-11-01
"85",241.729,2016-10-01
"86",241.428,2016-09-01
"87",240.849,2016-08-01
"88",240.628,2016-07-01
"89",241.018,2016-06-01
"90",240.229,2016-05-01
"91",239.261,2016-04-01
"92",238.132,2016-03-01
"93",237.111,2016-02-01
"94",236.916,2016-01-01
"95",236.525,2015-12-01
"96",237.336,2015-11-01
"97",237.838,2015-10-01
"98",237.945,2015-09-01
"99",238.316,2015-08-01
"100",238.654,2015-07-01
"101",238.638,2015-06-01
"102",237.805,2015-05-01
"103",236.599,2015-04-01
"104",236.119,2015-03-01
"105",234.722,2015-02-01
"106",233.707,2015-01-01
"107",234.812,2014-12-01
"108",236.151,2014-11-01
"109",237.433,2014-10-01
"110",238.031,2014-09-01
"111",237.852,2014-08-01
"112",238.25,2014-07-01
"113",238.343,2014-06-01
"114",237.9,2014-05-01
"115",237.072,2014-04-01
"116",236.293,2014-03-01
"117",234.781,2014-02-01
"118",233.916,2014-01-01
"119",233.049,2013-12-01
"120",233.069,2013-11-01
"121",233.546,2013-10-01
"122",234.149,2013-09-01
"123",233.877,2013-08-01
"124",233.596,2013-07-01
"125",233.504,2013-06-01
"126",232.945,2013-05-01
"127",232.531,2013-04-01
"128",232.773,2013-03-01
"129",232.166,2013-02-01
"130",230.28,2013-01-01
"131",229.601,2012-12-01
"132",230.221,2012-11-01
"133",231.317,2012-10-01
"134",231.407,2012-09-01
"135",230.379,2012-08-01
"136",229.104,2012-07-01
"137",229.478,2012-06-01
"138",229.815,2012-05-01
"139",230.085,2012-04-01
"140",229.392,2012-03-01
"141",227.663,2012-02-01
"142",226.665,2012-01-01
"143",225.672,2011-12-01
"144",226.23,2011-11-01
"145",226.421,2011-10-01
"146",226.889,2011-09-01
"147",226.545,2011-08-01
"148",225.922,2011-07-01
"149",225.722,2011-06-01
"150",225.964,2011-05-01
"151",224.906,2011-04-01
"152",223.467,2011-03-01
"153",221.309,2011-02-01
"154",220.223,2011-01-01
"155",219.179,2010-12-01
"156",218.803,2010-11-01
"157",218.711,2010-10-01
"158",218.439,2010-09-01
"159",218.312,2010-08-01
"160",218.011,2010-07-01
"161",217.965,2010-06-01
"162",218.178,2010-05-01
"163",218.009,2010-04-01
"164",217.631,2010-03-01
"165",216.741,2010-02-01
"166",216.687,2010-01-01
"167",215.949,2009-12-01
"168",216.33,2009-11-01
"169",216.177,2009-10-01
"170",215.969,2009-09-01
