"","value","Date"
"1",204,2023-10-01
"2",233,2023-09-01
"3",169,2023-08-01
"4",207,2023-07-01
"5",201,2023-06-01
"6",238,2023-05-01
"7",227,2023-04-01
"8",312,2023-03-01
"9",320,2023-02-01
"10",334,2023-01-01
"11",284,2022-12-01
"12",321,2022-11-01
"13",342,2022-10-01
"14",423,2022-09-01
"15",430,2022-08-01
"16",434,2022-07-01
"17",329,2022-06-01
"18",344,2022-05-01
"19",524,2022-04-01
"20",561,2022-03-01
"21",612,2022-02-01
"22",516,2022-01-01
"23",655,2021-12-01
"24",651,2021-11-01
"25",667,2021-10-01
"26",663,2021-09-01
"27",708,2021-08-01
"28",648,2021-07-01
"29",487,2021-06-01
"30",517,2021-05-01
"31",548,2021-04-01
"32",618,2021-03-01
"33",267,2021-02-01
"34",163,2021-01-01
"35",238,2020-12-01
"36",648,2020-11-01
"37",1138,2020-10-01
"38",1380,2020-09-01
"39",2581,2020-08-01
"40",2878,2020-07-01
"41",-4441,2020-06-01
"42",-6439,2020-05-01
"43",-7223,2020-04-01
"44",-273,2020-03-01
"45",236,2020-02-01
"46",217,2020-01-01
"47",149,2019-12-01
"48",184,2019-11-01
"49",189,2019-10-01
"50",174,2019-09-01
"51",160,2019-08-01
"52",105,2019-07-01
"53",159,2019-06-01
"54",179,2019-05-01
"55",150,2019-04-01
"56",172,2019-03-01
"57",157,2019-02-01
"58",196,2019-01-01
"59",148,2018-12-01
"60",117,2018-11-01
"61",168,2018-10-01
"62",132,2018-09-01
"63",172,2018-08-01
"64",199,2018-07-01
"65",228,2018-06-01
"66",232,2018-05-01
"67",252,2018-04-01
"68",253,2018-03-01
"69",227,2018-02-01
"70",174,2018-01-01
"71",174,2017-12-01
"72",157,2017-11-01
"73",125,2017-10-01
"74",137,2017-09-01
"75",173,2017-08-01
"76",200,2017-07-01
"77",204,2017-06-01
"78",181,2017-05-01
"79",178,2017-04-01
"80",189,2017-03-01
"81",219,2017-02-01
"82",190,2017-01-01
"83",149,2016-12-01
"84",175,2016-11-01
"85",185,2016-10-01
"86",270,2016-09-01
"87",254,2016-08-01
"88",220,2016-07-01
"89",162,2016-06-01
"90",164,2016-05-01
"91",219,2016-04-01
"92",194,2016-03-01
"93",200,2016-02-01
"94",204,2016-01-01
"95",273,2015-12-01
"96",227,2015-11-01
"97",199,2015-10-01
"98",190,2015-09-01
"99",197,2015-08-01
"100",262,2015-07-01
"101",257,2015-06-01
"102",237,2015-05-01
"103",213,2015-04-01
"104",186,2015-03-01
"105",247,2015-02-01
"106",252,2015-01-01
"107",268,2014-12-01
"108",277,2014-11-01
"109",243,2014-10-01
"110",243,2014-09-01
"111",252,2014-08-01
"112",259,2014-07-01
"113",282,2014-06-01
"114",265,2014-05-01
"115",249,2014-04-01
"116",206,2014-03-01
"117",131,2014-02-01
"118",171,2014-01-01
"119",183,2013-12-01
"120",226,2013-11-01
"121",216,2013-10-01
"122",183,2013-09-01
"123",181,2013-08-01
"124",172,2013-07-01
"125",193,2013-06-01
"126",182,2013-05-01
"127",204,2013-04-01
"128",205,2013-03-01
"129",237,2013-02-01
"130",198,2013-01-01
"131",188,2012-12-01
"132",168,2012-11-01
"133",173,2012-10-01
"134",168,2012-09-01
"135",132,2012-08-01
"136",109,2012-07-01
"137",88,2012-06-01
"138",139,2012-05-01
"139",194,2012-04-01
"140",281,2012-03-01
"141",272,2012-02-01
"142",230,2012-01-01
"143",185,2011-12-01
"144",192,2011-11-01
"145",189,2011-10-01
"146",136,2011-09-01
"147",140,2011-08-01
"148",129,2011-07-01
"149",220,2011-06-01
"150",217,2011-05-01
