"","value","Date"
"1",249.088,2023-10-01
"2",252.27,2023-09-01
"3",251.1,2023-08-01
"4",245.391,2023-07-01
"5",245.784,2023-06-01
"6",246.206,2023-05-01
"7",248.583,2023-04-01
"8",248.98,2023-03-01
"9",249.308,2023-02-01
"10",249.178,2023-01-01
"11",245.115,2022-12-01
"12",252.905,2022-11-01
"13",254.03,2022-10-01
"14",251.891,2022-09-01
"15",251.494,2022-08-01
"16",256.526,2022-07-01
"17",262.418,2022-06-01
"18",256.396,2022-05-01
"19",249.56,2022-04-01
"20",245.404,2022-03-01
"21",237.245,2022-02-01
"22",231.495,2022-01-01
"23",226.47,2021-12-01
"24",227.109,2021-11-01
"25",225.478,2021-10-01
"26",221.869,2021-09-01
"27",220.114,2021-08-01
"28",219.492,2021-07-01
"29",217.9,2021-06-01
"30",215.1,2021-05-01
"31",210.1,2021-04-01
"32",207.9,2021-03-01
"33",203.1,2021-02-01
"34",199.6,2021-01-01
"35",196.7,2020-12-01
"36",194.5,2020-11-01
"37",193.7,2020-10-01
"38",192.9,2020-09-01
"39",193,2020-08-01
"40",192.3,2020-07-01
"41",190.2,2020-06-01
"42",188.9,2020-05-01
"43",186.1,2020-04-01
"44",192.3,2020-03-01
"45",195.1,2020-02-01
"46",196.6,2020-01-01
"47",196.4,2019-12-01
"48",196.5,2019-11-01
"49",196.6,2019-10-01
"50",195.9,2019-09-01
"51",196.4,2019-08-01
"52",197.5,2019-07-01
"53",197,2019-06-01
"54",199.1,2019-05-01
"55",199.2,2019-04-01
"56",197.4,2019-03-01
"57",195.4,2019-02-01
"58",194.3,2019-01-01
"59",195.2,2018-12-01
"60",198.4,2018-11-01
"61",200.4,2018-10-01
"62",198.9,2018-09-01
"63",198.6,2018-08-01
"64",198.5,2018-07-01
"65",198.4,2018-06-01
"66",197.7,2018-05-01
"67",195.3,2018-04-01
"68",194,2018-03-01
"69",193.5,2018-02-01
"70",192.6,2018-01-01
"71",191.3,2017-12-01
"72",191.2,2017-11-01
"73",190.2,2017-10-01
"74",189.6,2017-09-01
"75",188.4,2017-08-01
"76",187.3,2017-07-01
"77",187.6,2017-06-01
"78",187.3,2017-05-01
"79",187.6,2017-04-01
"80",186.7,2017-03-01
"81",186.2,2017-02-01
"82",185.6,2017-01-01
"83",183.9,2016-12-01
"84",183.2,2016-11-01
"85",183.7,2016-10-01
"86",183,2016-09-01
"87",182.5,2016-08-01
"88",183.4,2016-07-01
"89",183.6,2016-06-01
"90",181.9,2016-05-01
"91",180.5,2016-04-01
"92",179.3,2016-03-01
"93",178.7,2016-02-01
"94",179.7,2016-01-01
"95",180.8,2015-12-01
"96",182.9,2015-11-01
"97",183.7,2015-10-01
"98",184.3,2015-09-01
"99",187,2015-08-01
"100",188.5,2015-07-01
"101",188.9,2015-06-01
"102",188.2,2015-05-01
"103",185.7,2015-04-01
"104",186.2,2015-03-01
"105",185.4,2015-02-01
"106",185,2015-01-01
"107",189.1,2014-12-01
"108",192.7,2014-11-01
"109",194.8,2014-10-01
"110",196.8,2014-09-01
"111",197.4,2014-08-01
"112",197.4,2014-07-01
"113",197.2,2014-06-01
"114",197.2,2014-05-01
"115",197.5,2014-04-01
"116",196.2,2014-03-01
"117",195.2,2014-02-01
"118",194.2,2014-01-01
"119",193.2,2013-12-01
"120",192.7,2013-11-01
"121",193.7,2013-10-01
"122",194.3,2013-09-01
"123",194.6,2013-08-01
"124",194,2013-07-01
"125",193.9,2013-06-01
"126",194,2013-05-01
"127",194,2013-04-01
"128",194.5,2013-03-01
"129",195.2,2013-02-01
"130",192.6,2013-01-01
"131",191.8,2012-12-01
"132",192.6,2012-11-01
"133",195.1,2012-10-01
"134",195.4,2012-09-01
"135",193.5,2012-08-01
"136",191.2,2012-07-01
"137",191.7,2012-06-01
"138",193.6,2012-05-01
"139",194.7,2012-04-01
"140",194.3,2012-03-01
"141",192.1,2012-02-01
"142",191.1,2012-01-01
"143",189.6,2011-12-01
"144",190.6,2011-11-01
"145",190.2,2011-10-01
"146",191.5,2011-09-01
"147",190.7,2011-08-01
"148",191.7,2011-07-01
"149",191.1,2011-06-01
"150",191.9,2011-05-01
"151",190.2,2011-04-01
"152",187.3,2011-03-01
"153",183.3,2011-02-01
"154",181.1,2011-01-01
"155",179.1,2010-12-01
"156",178.2,2010-11-01
"157",177.3,2010-10-01
"158",175.5,2010-09-01
"159",175.3,2010-08-01
"160",174.7,2010-07-01
"161",174.8,2010-06-01
"162",176.1,2010-05-01
"163",175.2,2010-04-01
"164",173.9,2010-03-01
"165",172.2,2010-02-01
"166",173.1,2010-01-01
"167",170.8,2009-12-01
"168",170.7,2009-11-01
"169",168.9,2009-10-01
"170",168.6,2009-09-01
"171",169.4,2009-08-01
"172",167.1,2009-07-01
"173",168.4,2009-06-01
"174",165.8,2009-05-01
"175",164.2,2009-04-01
"176",162.9,2009-03-01
"177",163.9,2009-02-01
"178",164.7,2009-01-01
"179",164.1,2008-12-01
"180",169.4,2008-11-01
"181",176.8,2008-10-01
"182",182.9,2008-09-01
"183",182.6,2008-08-01
"184",185.6,2008-07-01
"185",182,2008-06-01
"186",179.4,2008-05-01
"187",175.3,2008-04-01
"188",173.4,2008-03-01
"189",169.6,2008-02-01
"190",168.5,2008-01-01
"191",166.9,2007-12-01
"192",168,2007-11-01
"193",164.5,2007-10-01
"194",163.7,2007-09-01
"195",163,2007-08-01
"196",164.9,2007-07-01
"197",163.7,2007-06-01
"198",163.8,2007-05-01
"199",162.2,2007-04-01
"200",160.1,2007-03-01
"201",157.7,2007-02-01
"202",156.4,2007-01-01
"203",156.9,2006-12-01
"204",156.4,2006-11-01
"205",155.9,2006-10-01
"206",156.8,2006-09-01
"207",159.8,2006-08-01
"208",159.4,2006-07-01
"209",159.5,2006-06-01
"210",158.5,2006-05-01
"211",157.2,2006-04-01
"212",155,2006-03-01
"213",153.5,2006-02-01
"214",154.1,2006-01-01
"215",152.8,2005-12-01
"216",152.7,2005-11-01
"217",156.6,2005-10-01
"218",154.2,2005-09-01
"219",151.8,2005-08-01
"220",151,2005-07-01
"221",149.6,2005-06-01
"222",149.4,2005-05-01
"223",149.6,2005-04-01
"224",148.9,2005-03-01
"225",147,2005-02-01
"226",146.2,2005-01-01
"227",137.7,2003-12-01
"228",137.7,2003-11-01
"229",138.2,2003-10-01
"230",137.1,2003-09-01
"231",137,2003-08-01
"232",136.4,2003-07-01
"233",136.3,2003-06-01
"234",135.8,2003-05-01
"235",136.3,2003-04-01
"236",138.7,2003-03-01
"237",137.6,2003-02-01
"238",135.7,2003-01-01
"239",134,2002-12-01
"240",134.6,2002-11-01
"241",135.6,2002-10-01
"242",135,2002-09-01
"243",133.7,2002-08-01
"244",133.6,2002-07-01
"245",133.6,2002-06-01
"246",133.5,2002-05-01
"247",133.8,2002-04-01
"248",132.8,2002-03-01
"249",132,2002-02-01
"250",131.7,2002-01-01
"251",131.6,2001-12-01
"252",132.7,2001-11-01
"253",133.7,2001-10-01
"254",135.6,2001-09-01
"255",134.6,2001-08-01
"256",134.4,2001-07-01
"257",135.8,2001-06-01
"258",136.5,2001-05-01
"259",135.6,2001-04-01
"260",134.5,2001-03-01
"261",134.8,2001-02-01
"262",134.8,2001-01-01
"263",134.3,2000-12-01
"264",134.9,2000-11-01
"265",134.9,2000-10-01
"266",134.7,2000-09-01
"267",133.5,2000-08-01
"268",133.9,2000-07-01
"269",134.2,2000-06-01
"270",133.1,2000-05-01
"271",132.6,2000-04-01
"272",132.9,2000-03-01
"273",132.2,2000-02-01
"274",130.8,2000-01-01
"275",130.5,1999-12-01
"276",130.3,1999-11-01
"277",130.2,1999-10-01
"278",129.7,1999-09-01
"279",129,1999-08-01
"280",128.3,1999-07-01
"281",127.8,1999-06-01
"282",127.7,1999-05-01
"283",127.4,1999-04-01
"284",126.3,1999-03-01
"285",125.9,1999-02-01
"286",126.2,1999-01-01
"287",125.9,1998-12-01
"288",126.2,1998-11-01
"289",126.4,1998-10-01
"290",125.9,1998-09-01
"291",126,1998-08-01
"292",126.2,1998-07-01
"293",126.2,1998-06-01
"294",126.4,1998-05-01
"295",126.2,1998-04-01
"296",125.9,1998-03-01
"297",126.1,1998-02-01
"298",126.4,1998-01-01
"299",127,1997-12-01
"300",127.5,1997-11-01
"301",127.6,1997-10-01
"302",127.3,1997-09-01
"303",127.4,1997-08-01
"304",126.9,1997-07-01
"305",127.2,1997-06-01
"306",127.6,1997-05-01
"307",127.7,1997-04-01
"308",127.8,1997-03-01
"309",127.9,1997-02-01
"310",128.1,1997-01-01
"311",128,1996-12-01
"312",128,1996-11-01
"313",128.2,1996-10-01
"314",127.5,1996-09-01
"315",127.4,1996-08-01
"316",127.1,1996-07-01
"317",127.1,1996-06-01
"318",127.4,1996-05-01
"319",126.8,1996-04-01
"320",126,1996-03-01
"321",125.7,1996-02-01
"322",125.8,1996-01-01
"323",125.3,1995-12-01
"324",125.1,1995-11-01
"325",125.1,1995-10-01
"326",124.3,1995-09-01
"327",124.4,1995-08-01
"328",124.4,1995-07-01
"329",124.4,1995-06-01
"330",124.5,1995-05-01
"331",124.1,1995-04-01
"332",123.4,1995-03-01
"333",123.1,1995-02-01
"334",122.6,1995-01-01
"335",121.7,1994-12-01
"336",121.9,1994-11-01
"337",121.5,1994-10-01
"338",121.1,1994-09-01
"339",121.5,1994-08-01
"340",120.9,1994-07-01
"341",120.4,1994-06-01
"342",120.4,1994-05-01
"343",120.1,1994-04-01
"344",119.9,1994-03-01
"345",119.8,1994-02-01
"346",119.3,1994-01-01
"347",118.8,1993-12-01
"348",119.3,1993-11-01
"349",119.4,1993-10-01
"350",118.4,1993-09-01
"351",118.6,1993-08-01
"352",119.3,1993-07-01
"353",119.5,1993-06-01
"354",119.8,1993-05-01
"355",119.7,1993-04-01
"356",119.3,1993-03-01
"357",118.9,1993-02-01
"358",118.4,1993-01-01
"359",117.9,1992-12-01
"360",118.2,1992-11-01
"361",118.3,1992-10-01
"362",117.6,1992-09-01
"363",117.6,1992-08-01
"364",117.8,1992-07-01
"365",117.9,1992-06-01
"366",117.6,1992-05-01
"367",116.9,1992-04-01
"368",116.4,1992-03-01
"369",116.3,1992-02-01
"370",115.9,1992-01-01
"371",116,1991-12-01
"372",116.5,1991-11-01
"373",116.4,1991-10-01
"374",115.7,1991-09-01
"375",115.7,1991-08-01
"376",115.4,1991-07-01
"377",115.6,1991-06-01
"378",115.6,1991-05-01
"379",115.4,1991-04-01
"380",115.3,1991-03-01
"381",116.2,1991-02-01
"382",116.9,1991-01-01
"383",117.2,1990-12-01
"384",118.2,1990-11-01
"385",118.1,1990-10-01
"386",116.2,1990-09-01
"387",114.6,1990-08-01
"388",113.2,1990-07-01
"389",113.1,1990-06-01
"390",113.1,1990-05-01
"391",112.6,1990-04-01
"392",112.3,1990-03-01
"393",112.2,1990-02-01
"394",112.7,1990-01-01
"395",111,1989-12-01
"396",110.8,1989-11-01
"397",110.8,1989-10-01
"398",109.9,1989-09-01
"399",109.6,1989-08-01
"400",109.9,1989-07-01
"401",110.1,1989-06-01
"402",110.1,1989-05-01
"403",109.4,1989-04-01
"404",108.5,1989-03-01
"405",107.9,1989-02-01
"406",107.5,1989-01-01
"407",106.4,1988-12-01
"408",106.1,1988-11-01
"409",105.6,1988-10-01
"410",105.1,1988-09-01
"411",105.1,1988-08-01
"412",104.9,1988-07-01
"413",104.3,1988-06-01
"414",103.9,1988-05-01
"415",103.4,1988-04-01
"416",102.8,1988-03-01
"417",102.6,1988-02-01
"418",102.4,1988-01-01
"419",102.1,1987-12-01
"420",102.2,1987-11-01
"421",102,1987-10-01
"422",101.3,1987-09-01
"423",101.6,1987-08-01
"424",101.3,1987-07-01
"425",100.9,1987-06-01
"426",100.6,1987-05-01
"427",100.2,1987-04-01
"428",99.5,1987-03-01
"429",99.5,1987-02-01
"430",99.1,1987-01-01
"431",98.3,1986-12-01
"432",98.3,1986-11-01
"433",98.2,1986-10-01
"434",97.6,1986-09-01
"435",97.4,1986-08-01
"436",97.5,1986-07-01
"437",98.2,1986-06-01
"438",98.2,1986-05-01
"439",97.9,1986-04-01
"440",98.3,1986-03-01
"441",99.9,1986-02-01
"442",101.3,1986-01-01
"443",100,1984-12-01
