"","value","Date"
"1",3.9,2023-10-01
"2",3.8,2023-09-01
"3",3.8,2023-08-01
"4",3.5,2023-07-01
"5",3.6,2023-06-01
"6",3.7,2023-05-01
"7",3.4,2023-04-01
"8",3.5,2023-03-01
"9",3.6,2023-02-01
"10",3.4,2023-01-01
"11",3.5,2022-12-01
"12",3.6,2022-11-01
"13",3.7,2022-10-01
"14",3.5,2022-09-01
"15",3.7,2022-08-01
"16",3.5,2022-07-01
"17",3.6,2022-06-01
"18",3.6,2022-05-01
"19",3.6,2022-04-01
"20",3.6,2022-03-01
"21",3.8,2022-02-01
"22",4,2022-01-01
"23",3.9,2021-12-01
"24",4.2,2021-11-01
"25",4.5,2021-10-01
"26",4.8,2021-09-01
"27",5.2,2021-08-01
"28",5.4,2021-07-01
"29",5.9,2021-06-01
"30",5.8,2021-05-01
"31",6.1,2021-04-01
"32",6.1,2021-03-01
"33",6.2,2021-02-01
"34",6.3,2021-01-01
"35",6.7,2020-12-01
"36",6.7,2020-11-01
"37",6.9,2020-10-01
"38",7.9,2020-09-01
"39",8.4,2020-08-01
"40",10.2,2020-07-01
"41",11,2020-06-01
"42",13.2,2020-05-01
"43",14.7,2020-04-01
"44",4.4,2020-03-01
"45",3.5,2020-02-01
"46",3.5,2020-01-01
"47",3.6,2019-12-01
"48",3.6,2019-11-01
"49",3.6,2019-10-01
"50",3.5,2019-09-01
"51",3.7,2019-08-01
"52",3.7,2019-07-01
"53",3.6,2019-06-01
"54",3.7,2019-05-01
"55",3.6,2019-04-01
"56",3.8,2019-03-01
"57",3.8,2019-02-01
"58",4,2019-01-01
"59",3.9,2018-12-01
"60",3.8,2018-11-01
"61",3.8,2018-10-01
"62",3.7,2018-09-01
"63",3.8,2018-08-01
"64",3.8,2018-07-01
"65",4,2018-06-01
"66",3.8,2018-05-01
"67",4,2018-04-01
"68",4,2018-03-01
"69",4.1,2018-02-01
"70",4,2018-01-01
"71",4.1,2017-12-01
"72",4.2,2017-11-01
"73",4.2,2017-10-01
"74",4.3,2017-09-01
"75",4.4,2017-08-01
"76",4.3,2017-07-01
"77",4.3,2017-06-01
"78",4.4,2017-05-01
"79",4.4,2017-04-01
"80",4.4,2017-03-01
"81",4.6,2017-02-01
"82",4.7,2017-01-01
"83",4.7,2016-12-01
"84",4.7,2016-11-01
"85",4.9,2016-10-01
"86",5,2016-09-01
"87",4.9,2016-08-01
"88",4.8,2016-07-01
"89",4.9,2016-06-01
"90",4.8,2016-05-01
"91",5.1,2016-04-01
"92",5,2016-03-01
"93",4.9,2016-02-01
"94",4.8,2016-01-01
"95",5,2015-12-01
"96",5.1,2015-11-01
"97",5,2015-10-01
"98",5,2015-09-01
"99",5.1,2015-08-01
"100",5.2,2015-07-01
"101",5.3,2015-06-01
"102",5.6,2015-05-01
"103",5.4,2015-04-01
"104",5.4,2015-03-01
"105",5.5,2015-02-01
"106",5.7,2015-01-01
"107",5.6,2014-12-01
"108",5.8,2014-11-01
"109",5.7,2014-10-01
"110",5.9,2014-09-01
"111",6.1,2014-08-01
"112",6.2,2014-07-01
"113",6.1,2014-06-01
"114",6.3,2014-05-01
"115",6.2,2014-04-01
"116",6.7,2014-03-01
"117",6.7,2014-02-01
"118",6.6,2014-01-01
"119",6.7,2013-12-01
"120",6.9,2013-11-01
"121",7.2,2013-10-01
"122",7.2,2013-09-01
"123",7.2,2013-08-01
"124",7.3,2013-07-01
"125",7.5,2013-06-01
"126",7.5,2013-05-01
"127",7.6,2013-04-01
"128",7.5,2013-03-01
"129",7.7,2013-02-01
"130",8,2013-01-01
"131",7.9,2012-12-01
"132",7.7,2012-11-01
"133",7.8,2012-10-01
"134",7.8,2012-09-01
"135",8.1,2012-08-01
"136",8.2,2012-07-01
"137",8.2,2012-06-01
"138",8.2,2012-05-01
"139",8.2,2012-04-01
"140",8.2,2012-03-01
"141",8.3,2012-02-01
"142",8.3,2012-01-01
"143",8.5,2011-12-01
"144",8.6,2011-11-01
"145",8.8,2011-10-01
"146",9,2011-09-01
"147",9,2011-08-01
"148",9,2011-07-01
"149",9.1,2011-06-01
"150",9,2011-05-01
"151",9.1,2011-04-01
"152",9,2011-03-01
"153",9,2011-02-01
"154",9.1,2011-01-01
"155",9.3,2010-12-01
"156",9.8,2010-11-01
"157",9.4,2010-10-01
"158",9.5,2010-09-01
"159",9.5,2010-08-01
"160",9.4,2010-07-01
"161",9.4,2010-06-01
"162",9.6,2010-05-01
"163",9.9,2010-04-01
"164",9.9,2010-03-01
"165",9.8,2010-02-01
"166",9.8,2010-01-01
"167",9.9,2009-12-01
"168",9.9,2009-11-01
"169",10,2009-10-01
"170",9.8,2009-09-01
"171",9.6,2009-08-01
"172",9.5,2009-07-01
"173",9.5,2009-06-01
"174",9.4,2009-05-01
"175",9,2009-04-01
"176",8.7,2009-03-01
"177",8.3,2009-02-01
"178",7.8,2009-01-01
"179",7.3,2008-12-01
"180",6.8,2008-11-01
"181",6.5,2008-10-01
"182",6.1,2008-09-01
"183",6.1,2008-08-01
"184",5.8,2008-07-01
"185",5.6,2008-06-01
"186",5.4,2008-05-01
"187",5,2008-04-01
"188",5.1,2008-03-01
"189",4.9,2008-02-01
"190",5,2008-01-01
"191",5,2007-12-01
"192",4.7,2007-11-01
"193",4.7,2007-10-01
"194",4.7,2007-09-01
"195",4.6,2007-08-01
"196",4.7,2007-07-01
"197",4.6,2007-06-01
"198",4.4,2007-05-01
"199",4.5,2007-04-01
"200",4.4,2007-03-01
"201",4.5,2007-02-01
"202",4.6,2007-01-01
"203",4.4,2006-12-01
"204",4.5,2006-11-01
"205",4.4,2006-10-01
"206",4.5,2006-09-01
"207",4.7,2006-08-01
"208",4.7,2006-07-01
"209",4.6,2006-06-01
"210",4.6,2006-05-01
"211",4.7,2006-04-01
"212",4.7,2006-03-01
"213",4.8,2006-02-01
"214",4.7,2006-01-01
"215",4.9,2005-12-01
"216",5,2005-11-01
"217",5,2005-10-01
"218",5,2005-09-01
"219",4.9,2005-08-01
"220",5,2005-07-01
"221",5,2005-06-01
"222",5.1,2005-05-01
"223",5.2,2005-04-01
"224",5.2,2005-03-01
"225",5.4,2005-02-01
"226",5.3,2005-01-01
"227",5.7,2003-12-01
"228",5.8,2003-11-01
"229",6,2003-10-01
"230",6.1,2003-09-01
"231",6.1,2003-08-01
"232",6.2,2003-07-01
"233",6.3,2003-06-01
"234",6.1,2003-05-01
"235",6,2003-04-01
"236",5.9,2003-03-01
"237",5.9,2003-02-01
"238",5.8,2003-01-01
"239",6,2002-12-01
"240",5.9,2002-11-01
"241",5.7,2002-10-01
"242",5.7,2002-09-01
"243",5.7,2002-08-01
"244",5.8,2002-07-01
"245",5.8,2002-06-01
"246",5.8,2002-05-01
"247",5.9,2002-04-01
"248",5.7,2002-03-01
"249",5.7,2002-02-01
"250",5.7,2002-01-01
"251",5.7,2001-12-01
"252",5.5,2001-11-01
"253",5.3,2001-10-01
"254",5,2001-09-01
"255",4.9,2001-08-01
"256",4.6,2001-07-01
"257",4.5,2001-06-01
"258",4.3,2001-05-01
"259",4.4,2001-04-01
"260",4.3,2001-03-01
"261",4.2,2001-02-01
"262",4.2,2001-01-01
"263",3.9,2000-12-01
"264",3.9,2000-11-01
"265",3.9,2000-10-01
"266",3.9,2000-09-01
"267",4.1,2000-08-01
"268",4,2000-07-01
"269",4,2000-06-01
"270",4,2000-05-01
"271",3.8,2000-04-01
"272",4,2000-03-01
"273",4.1,2000-02-01
"274",4,2000-01-01
"275",4,1999-12-01
"276",4.1,1999-11-01
"277",4.1,1999-10-01
"278",4.2,1999-09-01
"279",4.2,1999-08-01
"280",4.3,1999-07-01
"281",4.3,1999-06-01
"282",4.2,1999-05-01
"283",4.3,1999-04-01
"284",4.2,1999-03-01
"285",4.4,1999-02-01
"286",4.3,1999-01-01
"287",4.4,1998-12-01
"288",4.4,1998-11-01
"289",4.5,1998-10-01
"290",4.6,1998-09-01
"291",4.5,1998-08-01
"292",4.5,1998-07-01
"293",4.5,1998-06-01
"294",4.4,1998-05-01
"295",4.3,1998-04-01
"296",4.7,1998-03-01
"297",4.6,1998-02-01
"298",4.6,1998-01-01
"299",4.7,1997-12-01
"300",4.6,1997-11-01
"301",4.7,1997-10-01
"302",4.9,1997-09-01
"303",4.8,1997-08-01
"304",4.9,1997-07-01
"305",5,1997-06-01
"306",4.9,1997-05-01
"307",5.1,1997-04-01
"308",5.2,1997-03-01
"309",5.2,1997-02-01
"310",5.3,1997-01-01
"311",5.4,1996-12-01
"312",5.4,1996-11-01
"313",5.2,1996-10-01
"314",5.2,1996-09-01
"315",5.1,1996-08-01
"316",5.5,1996-07-01
"317",5.3,1996-06-01
"318",5.6,1996-05-01
"319",5.6,1996-04-01
"320",5.5,1996-03-01
"321",5.5,1996-02-01
"322",5.6,1996-01-01
"323",5.6,1995-12-01
"324",5.6,1995-11-01
"325",5.5,1995-10-01
"326",5.6,1995-09-01
"327",5.7,1995-08-01
